blc pretreat compete L0 chl0 chlin0 tou0 mdamage mw dAphid rgr2Aphid Y
1 0 0 184 11.85 11.85 118.333333333333 NaN NaN -0.633333333333333 0.312374685042152 -1.15875252729614
1 0 0 189 10.31 10.5666666666667 90 NaN NaN -1 0 -1.71099325134307
1 0 0 133 11.34 11.4857142857143 101.666666666667 NaN NaN 1.46666666666667 1.24319351747922 0.486822772482721
1 0 1 159 10.7 11.6125 76.6666666666667 NaN NaN -0.816666666666667 0.168335314819215 -1.41339674115888
1 0 2 170 11.95 12.3888888888889 101.666666666667 6.5 0.01125 1.86666666666667 1.35239280944421 0.679873934909735
1 0 3 150 8.49 9.42222222222222 63.3333333333333 35 0.0645 -1 0 -1.71099325134307
1 1 0 184 11.85 11.85 118.333333333333 NaN NaN -1 0 -1.71099325134307
1 2 0 172 10.66 10.66 126.666666666667 23 NaN -0.6 0.336472236621213 -1.11615096587325
1 3 0 159 9.69 10.7857142857143 98.3333333333333 44 NaN -1 0 -1.71099325134307
2 0 0 154 9.13 9.52222222222222 146.666666666667 NaN NaN 1.3 1.19392246847243 0.399717507296504
2 0 0 136 13.63 14.3333333333333 123.333333333333 NaN NaN 0.6 0.955511445027436 -0.0217643941266861
2 0 0 187 9.17 9.61111111111111 98.3333333333333 NaN NaN -0.7 0.262364264467491 -1.24716491213557
2 0 1 120 10.48 11.4666666666667 128.333333333333 NaN NaN 2.88333333333333 1.58582804679497 1.09255924734232
2 0 2 198 6.87 5.825 133.333333333333 11.5 0.012 0.466666666666667 0.902867711542014 -0.114832158220951
2 0 3 216 9.8 9.31666666666666 123.333333333333 32 0.051 0.666666666666667 0.980829253011726 0.0229944332752167
2 1 0 154 9.13 9.52222222222222 146.666666666667 NaN NaN 2.53333333333333 1.5114575040739 0.961081108022209
2 2 0 92 9.27 10.1444444444444 138.333333333333 15 NaN 2.86666666666667 1.58240924004618 1.0865152098299
2 3 0 130 13.72 13.9555555555556 140 55 NaN 0.8 1.02961941718116 0.109249552135633
3 0 0 206 10.42 10.42 150 NaN NaN -1 0 -1.71099325134307
3 0 0 154 9.55 9.55 185 NaN NaN -0.166666666666667 0.606135803570316 -0.639418341265864
3 0 0 269 11.03 10.925 181.666666666667 NaN NaN 0.2 0.78845736036427 -0.317095844102973
3 0 1 134 11.3 11.3 155 NaN NaN -0.316666666666667 0.520775954619159 -0.790324247046809
3 0 2 167 12.32 12.32 143.333333333333 12.5 0.00875 0.0666666666666667 0.725937003382936 -0.427624285940011
3 0 3 170 11.48 11.7555555555556 118.333333333333 29 0.042 1.7 1.30833281965018 0.601981193178526
NaN 1 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 2 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 3 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN
4 0 0 180 11.05 11.5444444444444 98.3333333333333 NaN NaN 1.9 1.3609765531356 0.695048957272791
4 0 0 208 11.97 11.97 158.333333333333 NaN NaN 0.766666666666667 1.01764322613444 0.0880770924849087
4 0 0 214 10.84 11.5 178.333333333333 NaN NaN 0.466666666666667 0.902867711542014 -0.114832158220951
4 0 1 138 8.77 10.1625 101.666666666667 NaN NaN 0.8 1.02961941718116 0.109249552135633
4 0 2 110 8.73 8.7625 136.666666666667 14 0.00925 -0.933333333333333 0.0645385211375712 -1.59689693897025
4 0 3 196 8.99 9.52222222222222 98.3333333333333 26.5 0.08575 0.7 0.993251773010283 0.0449559486187697
4 1 0 180 11.05 11.5444444444444 98.3333333333333 NaN NaN -1 0 -1.71099325134307
4 2 0 148 13.42 12.9714285714286 130 25 NaN 3.33333333333333 1.67397643357167 1.2483949512841
4 3 0 168 10.52 10.5625 125 78 NaN -0.133333333333333 0.624154309072994 -0.607563799263844
5 0 0 178 14.23 14.23 111.666666666667 NaN NaN 1.7 1.30833281965018 0.601981193178526
5 0 0 290 12.26 12 115 NaN NaN 1.26666666666667 1.18377009700842 0.381769340442566
5 0 0 230 11.56 11.9555555555556 151.666666666667 NaN NaN 1.5 1.25276296849537 0.50374040637222
5 0 1 106 11.39 11.0888888888889 126.666666666667 NaN NaN 0.466666666666667 0.902867711542014 -0.114832158220951
5 0 2 190 13.59 13.6 120 15.5 0.0115 1.73333333333333 1.31730148963294 0.61783671874504
5 0 3 214 13.71 13.1444444444444 125 26.5 0.0665 0.0666666666666667 0.725937003382936 -0.427624285940011
5 1 0 178 14.23 14.23 111.666666666667 NaN NaN 3.06666666666667 1.62268313918412 1.15771460044994
5 2 0 147 26.21 13.5666666666667 121.666666666667 29 NaN -0.3 0.53062825106217 -0.772906576596083
5 3 0 197 10.46 10.0444444444444 156.666666666667 66 NaN 1.76666666666667 1.32619043705019 0.63355130444219
6 0 0 212 9.46 8.84444444444444 131.666666666667 NaN NaN 2.3 1.45861502269952 0.867661981658988
6 0 0 135 10.7 10.3777777777778 68.3333333333333 NaN NaN 2.16666666666667 1.42711635564015 0.811976141748391
6 0 0 148 9.35 9.5 83.3333333333333 NaN NaN 1.26666666666667 1.18377009700842 0.381769340442566
6 0 1 104 8.17 8.91111111111111 66.6666666666667 NaN NaN 3.58333333333333 1.71978596960297 1.32938067950584
6 0 2 184 8.42 7.85555555555556 86.6666666666667 23.5 0.0106666666666667 4.06666666666667 1.80280930541464 1.47615591218913
6 0 3 145 11.58 11.9666666666667 66.6666666666667 54 0.17225 3.83333333333333 1.76358859226136 1.40681842721821
6 1 0 212 9.46 8.84444444444444 131.666666666667 NaN NaN 4.93333333333333 1.93634069803916 1.71222329049161
6 2 0 246 9.26 9.26 76.6666666666667 28 NaN 2.2 1.43508452528932 0.82606290353511
6 3 0 176 10.92 9.12222222222222 133.333333333333 83 NaN 2.16666666666667 1.42711635564015 0.811976141748391
