blc pretreat compete L0 chl0 chlin0 tou0 Lend touend Aphid mdamageP mwP dwH ddamage
1 0 0 159 9.69 10.7857142857143 98.3333333333333 212 131.666666666667 NaN NaN NaN 1.98607063722707 44
1 0 0 171 10.55 10.2333333333333 121.666666666667 217 120 NaN NaN NaN 1.94327450183284 41
1 0 0 205 11.3 11.525 106.666666666667 264 141.666666666667 NaN NaN NaN 2.12532510518299 60
1 0 1 150 8.49 9.42222222222222 63.3333333333333 192 176.666666666667 15 NaN NaN 1.66920363833799 70
1 0 2 172 12.46 12.8666666666667 86.6666666666667 214 123.333333333333 NaN 11 0.0112924323465723 1.85915492957747 20
1 0 3 123 12.8 12.7875 76.6666666666667 152 136.666666666667 NaN NaN NaN 1.65471333347922 38.5
1 1 0 133 11.34 11.4857142857143 101.666666666667 199 140 52 NaN NaN 1.67126574813708 80
1 2 0 176 10.2 10.8 128.333333333333 287 153.333333333333 NaN 11.5 NaN 0.977610679121892 84
1 3 0 205 11.3 11.525 106.666666666667 289 195 NaN NaN NaN 1.64157948264224 65
2 0 0 130 13.72 13.9555555555556 140 122 130 NaN NaN NaN 2.10020942518351 55
2 0 0 209 9.1 9.2 115 256 98.3333333333333 NaN NaN NaN 1.97303247384759 57
2 0 0 206 9.58 10.0555555555556 113.333333333333 253 108.333333333333 NaN NaN NaN 1.77226318817195 66
2 0 1 216 9.8 9.31666666666666 123.333333333333 266 131.666666666667 40 NaN NaN 1.86757925769448 64
2 0 2 141 10.04 8.6 143.333333333333 191 111.666666666667 NaN 8.5 0.0112419027848419 1.46075141428935 60
2 0 3 174 11.37 11 120 196 105 NaN NaN NaN 1.78466989865076 27.5
2 1 0 187 9.17 9.61111111111111 98.3333333333333 316 135 19.5 NaN NaN 1.46521667455078 38
2 2 0 174 10.03 10.03 131.666666666667 231 163.333333333333 NaN 8.5 NaN 1.78808284476426 55
2 3 0 206 9.58 10.0555555555556 113.333333333333 252 123.333333333333 NaN NaN NaN 1.37007741940981 52
3 0 0 144 11.25 11.25 125 162 133.333333333333 NaN NaN NaN 1.37599954258743 41
3 0 0 218 12.71 12.71 153.333333333333 304 161.666666666667 NaN NaN NaN 1.45945919492429 66
3 0 0 218 11.24 11.24 178.333333333333 242 131.666666666667 NaN NaN NaN 1.38860709528353 51
3 0 1 170 11.48 11.7555555555556 118.333333333333 212 126.666666666667 55.5 NaN NaN 1.58575530364585 58
3 0 2 150 11.85 11.875 136.666666666667 179 155 NaN 11.5 0.00943368336574575 1.47108553935271 48
3 0 3 168 14.33 15.9428571428571 135 208 178.333333333333 NaN NaN NaN 1.61620390014235 36
NaN 1 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 2 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 3 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
4 0 0 168 10.52 10.5625 125 208 165 NaN NaN NaN 1.78370872980417 78
4 0 0 82 11.34 11.6333333333333 163.333333333333 98 113.333333333333 NaN NaN NaN 1.69697288756541 28
