blc pretreat compete L0 chl0 chlin0 tou0 Lend Aphid mdamageH mwH dwP ddamage
1 0 0 172 10.66 10.66 126.666666666667 224 NaN NaN NaN -0.0370370370370371 23
1 0 0 129 11.1 11.15 123.333333333333 158 NaN NaN NaN -0.0816326530612246 27
1 0 0 176 10.2 10.8 128.333333333333 247 NaN NaN NaN -0.25 23
1 0 1 170 11.95 12.3888888888889 101.666666666667 224 58 NaN NaN 0.0454545454545455 13
1 0 2 193 12.11 12.0166666666667 80 239 NaN NaN NaN -0.0961538461538462 17.5
1 0 3 172 12.46 12.8666666666667 86.6666666666667 214 NaN 10 0.0581679633795297 -0.166666666666667 22
1 1 0 189 10.31 10.5666666666667 90 322 15 NaN NaN -0.0833333333333334 42
1 2 0 129 11.1 11.15 123.333333333333 173 NaN NaN NaN -0.0816326530612246 22
1 3 0 171 10.55 10.2333333333333 121.666666666667 277 NaN 20.5 NaN -0.0869565217391305 18
2 0 0 92 9.27 10.1444444444444 138.333333333333 116 NaN NaN NaN -0.0800000000000001 15
2 0 0 191 11.5 11.5 130 243 NaN NaN NaN -0.128205128205128 26
2 0 0 174 10.03 10.03 131.666666666667 208 NaN NaN NaN -0.28 17
2 0 1 198 6.87 5.825 133.333333333333 270 37 NaN NaN 0 23
2 0 2 149 10.54 11.5666666666667 116.666666666667 177 NaN NaN NaN -0.26530612244898 23
2 0 3 141 10.04 8.6 143.333333333333 191 NaN 30 0.035587518544974 -0.0434782608695653 17
2 1 0 136 13.63 14.3333333333333 123.333333333333 219 39 NaN NaN -0.173913043478261 32
2 2 0 191 11.5 11.5 130 308 NaN NaN NaN -0.128205128205128 21
2 3 0 209 9.1 9.2 115 331 NaN 28.5 NaN -0.222222222222222 32
3 0 0 200 10.5 10.7777777777778 163.333333333333 234 NaN NaN NaN -0.0454545454545455 33
3 0 0 286 9.04 8.92857142857143 145 322 NaN NaN NaN -2.00198096011274e-06 41
3 0 0 160 13.65 14.2333333333333 148.333333333333 182 NaN NaN NaN -0.142857142857143 26
3 0 1 167 12.32 12.32 143.333333333333 232 31 NaN NaN -0.157894736842105 25
3 0 2 184 13.43 15.2857142857143 180 248 NaN NaN NaN -0.288888888888889 19.5
3 0 3 150 11.85 11.875 136.666666666667 179 NaN 24 0.0390390140599044 -0.0999999999999998 23
NaN 1 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 2 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 3 0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
4 0 0 148 13.42 12.9714285714286 130 161 NaN NaN NaN 0.222222222222222 25
4 0 0 222 8.55 8.55 90 266 NaN NaN NaN -0.142857142857143 41
4 0 0 177 10.11 10.2714285714286 130 177 NaN NaN NaN 0.222222222222222 30
4 0 1 110 8.73 8.7625 136.666666666667 120 16 NaN NaN 0.176470588235294 28
4 0 2 128 12.32 12.6777777777778 186.666666666667 154 NaN NaN NaN 0.384615384615384 26
4 0 3 244 9.23 9.23 111.666666666667 252 NaN 25 0.0824813949094245 0 23
4 1 0 208 11.97 11.97 158.333333333333 249 41.5 NaN NaN -0.333333333333333 20
4 2 0 222 8.55 8.55 90 230 NaN NaN NaN -0.142857142857143 26
4 3 0 82 11.34 11.6333333333333 163.333333333333 171 NaN 14 NaN -0.321428571428571 30
5 0 0 147 26.21 13.5666666666667 121.666666666667 162 NaN NaN NaN -0.153846153846154 29
5 0 0 215 12.55 12.55 145 203 NaN NaN NaN -0.14 43
5 0 0 184 12.12 12.12 115 246 NaN NaN NaN -0.0416666666666667 27
5 0 1 190 13.59 13.6 120 140 56 NaN NaN 0 31
5 0 2 129 14.14 14.3777777777778 158.333333333333 258 NaN NaN NaN 0.0217391304347826 42.5
5 0 3 172 11.5 11.5 148.333333333333 304 NaN 42.5 0.0666038989103248 0.181818181818182 32
5 1 0 290 12.26 12 115 260 49 NaN NaN -0.0714285714285714 43
5 2 0 215 12.55 12.55 145 292 NaN NaN NaN -0.14 61
5 3 0 125 13.96 13.96 143.333333333333 226 NaN 35.5 NaN -0.137931034482759 48
6 0 0 246 9.26 9.26 76.6666666666667 303 NaN NaN NaN -0.3 28
6 0 0 281 6.97 7.6 121.666666666667 354 NaN NaN NaN -0.183673469387755 54
6 0 0 98 10.5 10.1111111111111 110 112 NaN NaN NaN -0.192307692307692 45
6 0 1 184 8.42 7.85555555555556 86.6666666666667 228 91 NaN NaN -0.333333333333333 47
6 0 2 114 10.81 10.9428571428571 93.3333333333333 156 NaN NaN NaN -0.0612244897959183 27.5
6 0 3 218 9.39 9.39 120 212 NaN 44.5 0.153427584838199 -0.0833333333333334 32
6 1 0 135 10.7 10.3777777777778 68.3333333333333 216 62.5 NaN NaN -0.157894736842105 49
6 2 0 281 6.97 7.6 121.666666666667 392 NaN NaN NaN -0.183673469387755 69
6 3 0 140 10.1 9.03333333333333 133.333333333333 224 NaN 45.5 NaN -0.0909090909090908 35
