blc attack bugs order L0 Chlin0 tou0 dL endL dChlin endChlin dtou endtou damage
1 0 na na 169 10.75 116.666666666667 65 234 1.52142857142857 12.2714285714286 20 136.666666666667 NaN
1 1 A na 184 11.85 118.333333333333 34 218 -0.725000000000001 11.125 90 208.333333333333 NaN
1 1 A na 189 10.5666666666667 90 77 266 0.0999999999999996 10.6666666666667 20 110 NaN
1 1 A na 133 11.4857142857143 101.666666666667 23 156 2.28095238095238 13.7666666666667 28.3333333333333 130 NaN
1 1 P na 129 11.15 123.333333333333 29 158 1 12.15 3.33333333333334 126.666666666667 27
1 1 P na 172 10.66 126.666666666667 52 224 1.50666666666667 12.1666666666667 -5 121.666666666667 23
1 1 P na 176 10.8 128.333333333333 71 247 -2.48888888888889 8.31111111111111 -23.3333333333333 105 23
1 1 H na 205 11.525 106.666666666667 59 264 -0.934999999999999 10.59 35 141.666666666667 60
1 1 H na 159 10.7857142857143 98.3333333333333 53 212 0.0698412698412731 10.8555555555556 33.3333333333333 131.666666666667 44
1 1 H na 171 10.2333333333333 121.666666666667 46 217 -1.14333333333333 9.09 -1.66666666666667 120 41
1 2 AA sim 159 11.6125 76.6666666666667 33 192 -1.4425 10.17 35 111.666666666667 NaN
1 2 AP sim 170 12.3888888888889 101.666666666667 54 224 0.466666666666665 12.8555555555556 3.33333333333333 105 13
1 2 AH sim 150 9.42222222222222 63.3333333333333 42 192 -0.184722222222224 9.2375 113.333333333333 176.666666666667 70
1 2 PP sim 193 12.0166666666667 80 46 239 -0.416666666666664 11.6 66.6666666666667 146.666666666667 35
1 2 PH sim 172 12.8666666666667 86.6666666666667 42 214 -1.49166666666667 11.375 36.6666666666667 123.333333333333 42
1 2 HH sim 123 12.7875 76.6666666666667 29 152 0.368055555555555 13.1555555555556 60 136.666666666667 77
1 2 AA AA 184 11.85 118.333333333333 119 303 0.319999999999999 12.17 63.3333333333333 181.666666666667 NaN
1 2 AP AP 189 10.5666666666667 90 133 322 0.176190476190477 10.7428571428571 81.6666666666667 171.666666666667 42
1 2 AH AH 133 11.4857142857143 101.666666666667 66 199 1.95714285714285 13.4428571428571 38.3333333333333 140 80
1 2 PP PP 129 11.15 123.333333333333 44 173 0.62142857142857 11.7714285714286 10 133.333333333333 49
1 2 AP PA 172 10.66 126.666666666667 54 226 0.884444444444444 11.5444444444444 46.6666666666667 173.333333333333 NaN
1 2 PH PH 176 10.8 128.333333333333 111 287 0.4 11.2 25 153.333333333333 84
1 2 HH HH 205 11.525 106.666666666667 84 289 -0.758333333333335 10.7666666666667 88.3333333333333 195 125
1 2 AH HA 159 10.7857142857143 98.3333333333333 77 236 0.164285714285716 10.95 65 163.333333333333 NaN
1 2 PH HP 171 10.2333333333333 121.666666666667 106 277 -0.508333333333333 9.725 36.6666666666667 158.333333333333 18
2 0 na na 120 11.3888888888889 136.666666666667 32 152 0.277777777777779 11.6666666666667 -5 131.666666666667 NaN
2 1 A na 154 9.52222222222222 146.666666666667 46 200 1.08888888888889 10.6111111111111 -21.6666666666667 125 NaN
2 1 A na 136 14.3333333333333 123.333333333333 32 168 -0.166666666666664 14.1666666666667 5.00000000000001 128.333333333333 NaN
2 1 A na 187 9.61111111111111 98.3333333333333 67 254 -0.0777777777777775 9.53333333333333 21.6666666666667 120 NaN
2 1 P na 191 11.5 130 52 243 0.637500000000001 12.1375 -11.6666666666667 118.333333333333 26
2 1 P na 92 10.1444444444444 138.333333333333 24 116 -0.694444444444445 9.45 -10 128.333333333333 15
2 1 P na 174 10.03 131.666666666667 34 208 -0.629999999999999 9.4 0 131.666666666667 17
2 1 H na 206 10.0555555555556 113.333333333333 47 253 0.534444444444446 10.59 -5 108.333333333333 66
2 1 H na 130 13.9555555555556 140 -8 122 -1.15555555555556 12.8 -10 130 55
2 1 H na 209 9.2 115 47 256 -0.1625 9.0375 -16.6666666666667 98.3333333333333 57
2 2 AA sim 120 11.4666666666667 128.333333333333 44 164 -0.406666666666666 11.06 -30 98.3333333333333 NaN
2 2 AP sim 198 5.825 133.333333333333 72 270 3.725 9.55 6.66666666666666 140 23
2 2 AH sim 216 9.31666666666666 123.333333333333 50 266 0.283333333333335 9.6 8.33333333333333 131.666666666667 64
2 2 PP sim 149 11.5666666666667 116.666666666667 28 177 0.133333333333335 11.7 -13.3333333333333 103.333333333333 46
2 2 PH sim 141 8.6 143.333333333333 50 191 -0.34 8.26 -31.6666666666667 111.666666666667 77
2 2 HH sim 174 11 120 22 196 0.312499999999998 11.3125 -15 105 55
2 2 AA AA 154 9.52222222222222 146.666666666667 52 206 2.07777777777778 11.6 -23.3333333333333 123.333333333333 NaN
2 2 AP AP 136 14.3333333333333 123.333333333333 83 219 -3.76190476190476 10.5714285714286 -5 118.333333333333 32
2 2 AH AH 187 9.61111111111111 98.3333333333333 129 316 0.81111111111111 10.4222222222222 36.6666666666667 135 38
2 2 PP PP 191 11.5 130 117 308 0.449999999999999 11.95 1.66666666666666 131.666666666667 47
2 2 AP PA 92 10.1444444444444 138.333333333333 66 158 2.35555555555556 12.5 -18.3333333333333 120 NaN
2 2 PH PH 174 10.03 131.666666666667 57 231 -0.252222222222223 9.77777777777778 31.6666666666667 163.333333333333 55
2 2 HH HH 206 10.0555555555556 113.333333333333 46 252 1.55694444444445 11.6125 10 123.333333333333 118
2 2 AH HA 130 13.9555555555556 140 19 149 2.34444444444445 16.3 -8.33333333333334 131.666666666667 NaN
2 2 PH HP 209 9.2 115 122 331 -0.359999999999999 8.84 -1.66666666666667 113.333333333333 32
3 0 na na NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 1 A na 206 10.42 150 70 276 2.51333333333333 12.9333333333333 -1.66666666666666 148.333333333333 NaN
3 1 A na 154 9.55 185 53 207 0.0500000000000007 9.6 -33.3333333333333 151.666666666667 NaN
3 1 A na 269 10.925 181.666666666667 79 348 0.346428571428573 11.2714285714286 -40 141.666666666667 NaN
3 1 P na 286 8.92857142857143 145 36 322 1.43809523809524 10.3666666666667 -6.66666666666666 138.333333333333 41
3 1 P na 200 10.7777777777778 163.333333333333 34 234 1.20555555555556 11.9833333333333 18.3333333333333 181.666666666667 33
3 1 P na 160 14.2333333333333 148.333333333333 22 182 -0.195833333333335 14.0375 3.33333333333331 151.666666666667 26
3 1 H na 218 11.24 178.333333333333 24 242 0.860000000000001 12.1 -46.6666666666667 131.666666666667 51
3 1 H na 144 11.25 125 18 162 1.55 12.8 8.33333333333334 133.333333333333 41
3 1 H na 218 12.71 153.333333333333 86 304 1.11 13.82 8.33333333333331 161.666666666667 66
3 2 AA sim 134 11.3 155 23 157 0.400000000000002 11.7 -6.66666666666666 148.333333333333 NaN
3 2 AP sim 167 12.32 143.333333333333 65 232 1.48 13.8 -31.6666666666667 111.666666666667 25
3 2 AH sim 170 11.7555555555556 118.333333333333 42 212 -0.788888888888886 10.9666666666667 8.33333333333334 126.666666666667 58
3 2 PP sim 184 15.2857142857143 180 64 248 0.0365079365079328 15.3222222222222 -36.6666666666667 143.333333333333 39
3 2 PH sim 150 11.875 136.666666666667 29 179 -1.965 9.91 18.3333333333333 155 71
3 2 HH sim 168 15.9428571428571 135 40 208 -0.431746031746034 15.5111111111111 43.3333333333333 178.333333333333 72
3 2 AA AA NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 AP AP NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
3 2 AH AH NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
