block treatment subject subjecttype replicate damagetreat damagecontrol cattreat catsubject catblock cattype ratio PI
2 3 2 0 1 0 23.5 H P 2 F 0 1
2 3 2 0 2 0 13.5 H P 2 F 0 1
2 3 2 0 3 5.5 49.5 H P 2 F 0.1 0.8
2 3 2 1 1 4 9 H P 2 M 0.307692307692308 0.384615384615385
2 3 2 1 2 16 6 H P 2 M 0.727272727272727 -0.454545454545455
2 3 2 1 3 16.5 4 H P 2 M 0.804878048780488 -0.609756097560976
2 3 3 3 1 0 82 H H 2 small 0 1
2 3 3 3 2 123 46 H H 2 small 0.727810650887574 -0.455621301775148
2 3 3 3 3 188 72 H H 2 small 0.723076923076923 -0.446153846153846
2 3 3 4 2 48 473 H H 2 medium 0.0921305182341651 0.81573896353167
2 3 3 4 3 160 857 H H 2 medium 0.15732546705998 0.685349065880039
2 2 2 0 1 2 35 P P 2 F 0.0540540540540541 0.891891891891892
2 2 2 0 2 0 25 P P 2 F 0 1
2 2 2 0 3 9.5 19.5 P P 2 F 0.327586206896552 0.344827586206897
2 2 2 1 1 7.5 6 P P 2 M 0.555555555555556 -0.111111111111111
2 2 2 1 2 0 12.5 P P 2 M 0 1
2 2 2 1 3 0 19 P P 2 M 0 1
2 2 3 3 1 115 0 P H 2 small 1 -1
2 2 3 3 2 243 0 P H 2 small 1 -1
2 2 3 3 3 136 20 P H 2 small 0.871794871794872 -0.743589743589744
2 2 3 4 1 0 552 P H 2 medium 0 1
2 2 3 4 3 2 0 P H 2 medium 1 -1
2 1 2 0 1 0 10 A P 2 F 0 1
2 1 2 0 2 41 0 A P 2 F 1 -1
2 1 2 0 3 14 15.5 A P 2 F 0.474576271186441 0.0508474576271186
2 1 2 1 1 5.5 13.5 A P 2 M 0.289473684210526 0.421052631578947
2 1 2 1 2 5 12.5 A P 2 M 0.285714285714286 0.428571428571429
2 1 2 1 3 4 10 A P 2 M 0.285714285714286 0.428571428571429
2 1 3 3 1 86 0 A H 2 small 1 -1
2 1 3 3 2 0 100 A H 2 small 0 1
2 1 3 3 3 264 232 A H 2 small 0.532258064516129 -0.0645161290322581
2 1 3 4 1 130 146 A H 2 medium 0.471014492753623 0.0579710144927536
3 3 2 0 2 19 22 H P 3 F 0.463414634146341 0.0731707317073171
3 3 2 0 3 25.5 12.5 H P 3 F 0.671052631578947 -0.342105263157895
3 3 2 1 2 11 10 H P 3 M 0.523809523809524 -0.0476190476190476
3 3 2 1 3 100 0 H P 3 M 1 -1
3 3 3 3 1 27 7 H H 3 small 0.794117647058823 -0.588235294117647
3 3 3 3 2 3 237 H H 3 small 0.0125 0.975
3 3 3 4 1 100 0 H H 3 medium 1 -1
3 3 3 4 2 100 0 H H 3 medium 1 -1
3 3 3 4 3 200 175 H H 3 medium 0.533333333333333 -0.0666666666666667
3 2 2 0 1 19 16 P P 3 F 0.542857142857143 -0.0857142857142857
3 2 2 0 2 5 5 P P 3 F 0.5 0
3 2 2 0 3 0 100 P P 3 F 0 1
3 2 2 1 1 100 0 P P 3 M 1 -1
3 2 2 1 3 100 0 P P 3 M 1 -1
3 2 3 3 2 100 0 P H 3 small 1 -1
3 2 3 3 3 189 194 P H 3 small 0.493472584856397 0.0130548302872063
3 2 3 4 1 100 0 P H 3 medium 1 -1
3 2 3 4 2 0 100 P H 3 medium 0 1
3 2 3 4 3 584 114 P H 3 medium 0.836676217765043 -0.673352435530086
3 1 2 0 1 13 2.5 A P 3 F 0.838709677419355 -0.67741935483871
3 1 2 0 2 16 4 A P 3 F 0.8 -0.6
3 1 2 0 3 4 16.5 A P 3 F 0.195121951219512 0.609756097560976
3 1 2 1 1 21 6 A P 3 M 0.777777777777778 -0.555555555555556
3 1 2 1 2 6.5 4 A P 3 M 0.619047619047619 -0.238095238095238
3 1 2 1 3 5 5 A P 3 M 0.5 0
3 1 3 3 1 0 100 A H 3 small 0 1
3 1 3 3 2 100 0 A H 3 small 1 -1
3 1 3 3 3 367 64 A H 3 small 0.851508120649652 -0.703016241299304
3 1 3 4 1 175 129 A H 3 medium 0.575657894736842 -0.151315789473684
3 1 3 4 2 241 330 A H 3 medium 0.422066549912434 0.155866900175131
3 1 3 4 3 0 100 A H 3 medium 0 1
4 3 2 0 1 22 18 H P 4 F 0.55 -0.1
4 3 2 0 2 100 0 H P 4 F 1 -1
4 3 2 0 3 16 18 H P 4 F 0.470588235294118 0.0588235294117647
4 3 2 1 1 4 11 H P 4 M 0.266666666666667 0.466666666666667
4 3 2 1 2 15 14.5 H P 4 M 0.508474576271186 -0.0169491525423729
4 3 2 1 3 0 10 H P 4 M 0 1
4 3 3 3 1 0 100 H H 4 small 0 1
4 3 3 3 2 0 100 H H 4 small 0 1
4 3 3 3 3 0 100 H H 4 small 0 1
4 3 3 4 1 0 100 H H 4 medium 0 1
4 3 3 4 2 27 339 H H 4 medium 0.0737704918032787 0.852459016393443
4 3 3 4 3 66 333 H H 4 medium 0.165413533834586 0.669172932330827
4 2 2 0 1 19 39 P P 4 F 0.327586206896552 0.344827586206897
4 2 2 0 2 10 0 P P 4 F 1 -1
4 2 2 0 3 10.5 4.5 P P 4 F 0.7 -0.4
4 2 2 1 1 10 0 P P 4 M 1 -1
4 2 2 1 2 13 6 P P 4 M 0.684210526315789 -0.368421052631579
4 2 2 1 3 16 3.5 P P 4 M 0.82051282051282 -0.641025641025641
4 2 3 3 1 0 100 P H 4 small 0 1
4 2 3 3 2 172 82 P H 4 small 0.677165354330709 -0.354330708661417
4 2 3 3 3 0 100 P H 4 small 0 1
4 2 3 4 1 0 100 P H 4 medium 0 1
4 2 3 4 2 100 0 P H 4 medium 1 -1
4 2 3 4 3 3 147 P H 4 medium 0.02 0.96
4 1 2 0 1 29 13 A P 4 F 0.69047619047619 -0.380952380952381
4 1 2 0 1 6 30 A P 4 F 0.166666666666667 0.666666666666667
4 1 2 0 3 20.5 17 A P 4 F 0.546666666666667 -0.0933333333333333
4 1 2 1 1 0 10 A P 4 M 0 1
4 1 2 1 2 8.5 3 A P 4 M 0.739130434782609 -0.478260869565217
4 1 2 1 3 12.4 2.9 A P 4 M 0.810457516339869 -0.620915032679739
4 1 3 3 1 150 30 A H 4 small 0.833333333333333 -0.666666666666667
4 1 3 3 2 43.4 212.6 A H 4 small 0.16953125 0.6609375
4 1 3 3 3 0 100 A H 4 small 0 1
4 1 3 4 1 358.4 25.6 A H 4 medium 0.933333333333333 -0.866666666666667
4 1 3 4 3 104.3 275 A H 4 medium 0.274980226733456 0.450039546533087
5 3 3 3 1 100 0 H H 5 small 1 -1
5 3 3 3 3 41.1 205.7 H H 5 small 0.166531604538088 0.666936790923825
5 3 3 4 1 17.1 444.6 H H 5 medium 0.037037037037037 0.925925925925926
5 3 3 4 2 48.9 133.8 H H 5 medium 0.267651888341543 0.464696223316913
5 3 3 4 3 105.4 423.5 H H 5 medium 0.199281527698998 0.601436944602004
